user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
connectme,Brian Hayashi,938740726,2008-09-29 02:55:54,/connectme/status/938740726,0,0,0,"Palin: 'Look, Mom! After getting interviewed by Katie Couric, I'm going to Disneyland!' #metoo","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Palin: 'Look, Mom! After getting interviewed by Katie Couric, I'm going to Disneyland!' <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
shelisrael,shel israel,938639915,2008-09-29 01:01:42,/shelisrael/status/938639915,0,0,0,"RT via @jowyang @jimhirshfield: ""Biden: ""I can see the White House from my house"" #metoo funny.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">RT via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""79543"" dir=""ltr"" href=""/jowyang""><s>@</s><b>jowyang</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14098668"" dir=""ltr"" href=""/jimhirshfield""><s>@</s><b>jimhirshfield</b></a>: ""Biden: ""I can see the White House from my house"" <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span> funny.</p>"
jowyang,Jeremiah Owyang,938638791,2008-09-29 01:00:30,/jowyang/status/938638791,1,0,0,"@jimhirshfield: ""Biden: ""I can see the White House from my house"" #metoo
funny.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""14098668"" dir=""ltr"" href=""/jimhirshfield""><s>@</s><b>jimhirshfield</b></a>: ""Biden: ""I can see the White House from my house"" <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span>
funny.</p>"
AlbertMaruggi,Albert Maruggi,938624167,2008-09-29 00:43:13,/AlbertMaruggi/status/938624167,0,0,0,"@jowyang the bracelet too, was a bad come back, the retort would have been more powerful without the bracelet comment. #metoo","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""79543"" dir=""ltr"" href=""/jowyang""><s>@</s><b>jowyang</b></a> the bracelet too, was a bad come back, the retort would have been more powerful without the bracelet comment. <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
jimhirshfield,jim hirshfield,938621397,2008-09-29 00:39:41,/jimhirshfield/status/938621397,0,0,0,"@jowyang Biden: ""I can see the White House from my house"" #metoo","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""79543"" dir=""ltr"" href=""/jowyang""><s>@</s><b>jowyang</b></a> Biden: ""I can see the White House from my house"" <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
VBrown,Vernon Brown,938614508,2008-09-29 00:31:48,/VBrown/status/938614508,0,0,0,The #Obama #metoo bracelet continues to cause discussion http://phpurl.com/l4,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Obama?src=hash""><s>#</s><b>Obama</b></a> <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span> bracelet continues to cause discussion http://phpurl.com/l4</p>"
connectme,Brian Hayashi,938588628,2008-09-29 00:00:50,/connectme/status/938588628,0,0,0,I don't have to be from the Lower 48 to make a difference. I'm an American too. #metoo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I don't have to be from the Lower 48 to make a difference. I'm an American too. <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
jowyang,Jeremiah Owyang,938583089,2008-09-28 23:53:50,/jowyang/status/938583089,0,0,0,"Obama to McCain: ""I've got a bracelet too"" wonder what'll happen thursday: ""I've a snowblower too"" #metoo","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Obama to McCain: ""I've got a bracelet too"" wonder what'll happen thursday: ""I've a snowblower too"" <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
adhoctg,Trevor Glen,931388939,2008-09-23 07:38:23,/adhoctg/status/931388939,0,0,0,Another #metoo for #xmpp not working.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Another <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span> for <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/xmpp?src=hash""><s>#</s><b>xmpp</b></a> not working.</p>"
Markus_Merz,Markus Merz,895669389,2008-08-22 16:27:53,/Markus_Merz/status/895669389,0,0,0,identi.ca -> markusmerz http://identi.ca/markusmerz. Friends wanted. #metoo #identica,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">identi.ca -&gt; markusmerz http://identi.ca/markusmerz. Friends wanted. <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/identica?src=hash""><s>#</s><b>identica</b></a></p>"
widenka,Malte Widenka,812734891,2008-05-16 13:03:25,/widenka/status/812734891,0,0,0,"xing wäre so toll benutzbar, wenn ENDLICH mal der messagetext in der mail-benachrichtigung stünde, wie beim neuen kontakt auch. #xing #metoo","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">xing wäre so toll benutzbar, wenn ENDLICH mal der messagetext in der mail-benachrichtigung stünde, wie beim neuen kontakt auch. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/xing?src=hash""><s>#</s><b>xing</b></a> <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
enypsilon,Nicole Y. Jodeleit,784588834,2008-04-07 19:23:39,/enypsilon/status/784588834,0,0,0,"@grafzahl was für eine schicke Kamera, die diese Aufnahme gemacht hat #metoo  ;-) Bist immer noch so zufrieden wie ich?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3743091"" dir=""ltr"" href=""/grafzahl""><s>@</s><b>grafzahl</b></a> was für eine schicke Kamera, die diese Aufnahme gemacht hat <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span>  ;-) Bist immer noch so zufrieden wie ich?</p>"
mattsches,Matthias Gutjahr,769726196,2008-03-11 08:15:26,/mattsches/status/769726196,0,0,1,@paulinepauline die ganzen nerds sind halt kaffeejunkies #metoo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""859571"" dir=""ltr"" href=""/paulinepauline""><s>@</s><b>paulinepauline</b></a> die ganzen nerds sind halt kaffeejunkies <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
Sam_Blam,Magrat Garlick,167397196289941504,2012-02-08 23:59:36,/Sam_Blam/status/167397196289941504,0,0,0,@amy0arm me too #metoo :(,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2305499358"" dir=""ltr"" href=""/amy0arm""><s>@</s><b>amy0arm</b></a> me too <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span> :(</p>"
squinn6,Sara Quinn ✌,167396656680144896,2012-02-08 23:57:27,/squinn6/status/167396656680144896,0,0,0,@AmberVBrian @swiftjordan mhhhmmmm. #metoo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""449964073"" dir=""ltr"" href=""/AmberVBrian""><s>@</s><b>AmberVBrian</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2834798930"" dir=""ltr"" href=""/SwiftJordan""><s>@</s><b>swiftjordan</b></a> mhhhmmmm. <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
iHN0,Hana S3D  ♉,167392314069757957,2012-02-08 23:40:12,/iHN0/status/167392314069757957,0,0,0,“@DoDita11: لم اعرف أحدا احبه و يهجرني مثل النوم” #MeToo,"<p class=""TweetTextSize js-tweet-text tweet-text tweet-text-rtl"" data-aria-label-part=""0"" lang=""ar"">“<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""324612967"" dir=""ltr"" href=""/DoDita11""><s>@</s><b>DoDita11</b></a>: لم اعرف أحدا احبه و يهجرني مثل النوم” <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MeToo?src=hash""><s>#</s><b><strong>MeToo</strong></b></a><a dir=""ltr"" href=""/hashtag/MeToo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
